scope,plan_fiscal_year,metric,value,numerator,denominator,sample_size,definition
all_hospitals,2025/26,normalized_matches,0,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,2025/26,fuzzy_matches,0,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,2025/26,outcome_calculable_cycles,0,0,0,0,Primary ED analysis-eligible cycles only
all_hospitals,2025/26,cycles_with_insufficient_data,0,0,0,0,Primary ED analysis-eligible cycles only
all_hospitals,2025/26,target_calculable_cycles,0,0,0,0,Primary ED analysis-eligible cycles only
all_hospitals,2025/26,analysis_eligible_cycles,0,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,2025/26,cycles_containing_multiple_interventions,461,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,2025/26,cycles_with_implementation_conflicts,3,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,2025/26,cycles_with_mixed_implementation,123,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,2025/26,interventions,1739,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,2025/26,interventions_classified_other,597,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,2025/26,interventions_with_implementation_conflicts,3,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,2025/26,workplan_rows_in_matched_cycles,1193,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,2025/26,progress_rows_in_matched_cycles,1234,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,2025/26,exact_idea_matched_workplan_rows,1194,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,2025/26,workplan_cycle_match_rate_pct,67.37338044758539,572,849,849,Accepted matches exclude ambiguity; exact idea coverage is a candidate diagnostic
all_hospitals,2025/26,progress_cycle_match_rate_pct,99.65156794425087,572,574,574,Accepted matches exclude ambiguity; exact idea coverage is a candidate diagnostic
all_hospitals,2025/26,workplan_row_cycle_match_rate_pct,68.48450057405282,1193,1742,1742,Accepted matches exclude ambiguity; exact idea coverage is a candidate diagnostic
all_hospitals,2025/26,exact_idea_workplan_row_coverage_pct,68.5419058553387,1194,1742,1742,Accepted matches exclude ambiguity; exact idea coverage is a candidate diagnostic
all_hospitals,2025/26,other_pct,34.330074755606674,597,1739,1739,Accepted matches exclude ambiguity; exact idea coverage is a candidate diagnostic
all_hospitals,all_historical,workplan_rows,3430,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,all_historical,progress_rows,2343,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,all_historical,total_cycles,1669,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,all_historical,valid_cycles,1665,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,all_historical,workplan_cycles,1666,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,all_historical,progress_cycles,1054,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,all_historical,matched_cycles,1047,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,all_historical,candidate_matched_cycles,1051,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,all_historical,unmatched_cycles,618,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,all_historical,workplan_only_cycles,615,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,all_historical,progress_only_cycles,3,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,all_historical,ambiguous_matches,4,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,all_historical,cycles_needing_identity_review,4,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,all_historical,exact_matches,1047,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,all_historical,normalized_matches,0,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,all_historical,fuzzy_matches,0,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,all_historical,outcome_calculable_cycles,0,0,0,0,Primary ED analysis-eligible cycles only
