observation_id,source_record_id,role,source_column,raw_value,numeric_value,source_status
obs_3ab2ab0e01defb779800,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_32,previous,formatted_current_value2,81.30,81.30,numeric
obs_0583dca41860394fee3d,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_32,target,formatted_target_value2,84.20,84.20,numeric
obs_67cecf18775ec064ac88,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_32,current,formatted_progress_value2,85.30,85.30,numeric
obs_d6f0c53218aed49248d0,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_33,previous,formatted_current_value2,81.30,81.30,numeric
obs_d2830874804e0bf08a0f,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_33,target,formatted_target_value2,84.20,84.20,numeric
obs_3065a9b87df10dac08a9,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_33,current,formatted_progress_value2,85.30,85.30,numeric
obs_8aadd1c5cf2a5c12158f,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_34,previous,formatted_current_value2,81.30,81.30,numeric
obs_ceda8f9f9628be53ca86,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_34,target,formatted_target_value2,84.20,84.20,numeric
obs_d3f16dbe0849e6f7e74f,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_34,current,formatted_progress_value2,85.30,85.30,numeric
obs_30745675e7f914434cd6,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_35,previous,formatted_current_value2,81.30,81.30,numeric
obs_ae1192e3149841856b2c,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_35,target,formatted_target_value2,84.20,84.20,numeric
obs_5107172614a7f41e9b9e,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_35,current,formatted_progress_value2,85.30,85.30,numeric
